 ,Tribes ID,# avis Glassdoor,Note Glassdoor,Classements,Secteur,Business,Business Model,Cible,Fonds,Dernière levée (M€),Linkedin,Création,# employés,# d'employés,Domaine,Website,WTTJ,Mail type,Revenus,Croissance /an,Certification RH
InsideBoard,02SCy52,-,n.a.,-,Autres,InsideBoard réunit en une plateforme globale de conduite du changement un large choix de solutions innovantes pour engager et animer tous les acteurs,SaaS,B2B,"AXA Venture Partners, Orange Ventures et d’ISAI Cap Venture, Entrepreneur Venture","25,0",https://www.linkedin.com/company/5259101,2013,11-50,9,insideboard.com,https://www.insideboard.com?utm_source=linkedin&amp;utm_support=cta-header,,prénom@insideboard.com,-,n.a.,-
InterCloud,01yChrFxH,-,n.a.,-,Telecom,"InterCloud is the only Software-Defined Cloud Interconnect (SDCI) provider delivering a secure, end-to-end managed service.",SaaS,B2B,"Orange Digital Ventures, CNP Assurances, UL Invest et Weber Invest, Cap Horn Invest, Ventech, Hi Inov Dentressangle, SNCF Digital Ventures","22,0",https://www.linkedin.com/company/1665585,2010,11-50,,intercloud.com,http://www.intercloud.com,,,-,n.a.,-
Les Alchimistes,02TuncQ,-,n.a.,-,Greentech,"Tri, collecte et valorisation de déchets …",Service,B2B,"Investir &+, Phitrust, France Active Investissement","2,4",https://www.linkedin.com/company/les-alchimistes-sas/,2016,11-50,17,alchimistes.co,https://alchimistes.co/,,,-,n.a.,-
EcoTree,02MIvnY,-,n.a.,-,Greentech,"Acheter des arbres sur internet, investissement durable",Service,B2C,"Accurafy 4, Finistère Angels, West Web Valley","3,0",https://www.linkedin.com/company/ecotree/,2015,11-50,20,ecotree.green,https://ecotree.green/,,,-,n.a.,-
Iten,029XMj3,-,n.a.,-,Deeptech,Spécialiste français des micro-batteries lithium-ion solides et rechargeables,Produit,B2B,"Innovacom via son fonds fonds technocom2, le FCPI Avenir Numérique","20,0",https://www.linkedin.com/company/25881453,2011,11-50,111,iten.com,http://www.iten.com,,,-,n.a.,-
ITrust,02OD7c2,20,"2,9",-,Cybersécurité,Éditeur de solutions de Cybersécurité,SaaS,B2B,"Le Ronsard, Sorepar, Nestadio Capital, Groupe Scopelec","2,0",https://www.linkedin.com/company/723475,2007,11-50,12,itrust.fr,https://www.itrust.fr/,,,-,n.a.,-
Ivalua,02SCyKL,114,"4,1",Next 40,Autres,Ivalua est une plateforme unifiée pour tous vos besoins en logiciels de sourcing et d'achat durant le processus source-to-pay,SaaS,B2B,-,,https://www.linkedin.com/company/82978,2000,51-200,10,ivalua.com,http://www.ivalua.com,,prénom@ivalua.com,-,n.a.,-
Ividata,02Ra64toN,12,"3,5",Top Linkedin,Conseil / fonds,IVIDATA est une agence de consulting spécialisée dans le digital et le Big Data,Service,B2B,-,,https://www.linkedin.com/company/3239902,2013,51-200,-,ividata.com,http://www.ividata.com,,,-,n.a.,-
Largo,02MWyvS,-,n.a.,-,Greentech,Propose un service de reconditionnement et de revente de mobiles..,Service,B2C,"Abab, Pays de la Loire Participations, A Plus Finance","3,1",https://www.linkedin.com/company/largo-france/,2016,11-50,23,largo-france.fr,https://www.largo-france.fr/,,,-,n.a.,-
iziwork,02MIvnYsg,13,"3,8",-,RH,Recrutez des intérimaires rapidement et moins cher,Marketplace,B2C,"Cathay Innovation, GFC","12,0",https://www.linkedin.com/company/28656800,2018,51-200,67,iziwork.com,http://iziwork.com,,prénom.nom@iziwork.com,-,n.a.,-
Accenta,024MaxH,-,n.a.,-,Greentech,Décarbonation des bâtiments,Service,B2B,"Serena Capital, Eren Groupe","4,7",https://www.linkedin.com/company/accenta-energie/,2016,11-50,28,accenta.ai,http://www.accenta.ai,,,-,n.a.,-
Spareka,02EK8Bf,6,"3,8",-,Greentech,"Pièces Détachées neuves d'origine et compatibles : Réparez vos appareils électroménagers, piscine, jardin et motorisation de portail ...",Marketplace,B2C,Paris Fonds Vert,"5,0",https://www.linkedin.com/company/spareka/,2006,11-50,32,spareka.fr,https://www.spareka.fr/,,,-,n.a.,-
Energiency,01yCiPL,-,n.a.,-,Greentech,Intelligence énergétique pour les industriels,SaaS,B2B,"Encevo, Go Capital, West Web Valley, InnoEnergy, 50 Partners","4,5",https://www.linkedin.com/company/2785555,2013,11-50,35,energiency.com,http://www.energiency.com,,,-,n.a.,-
JobTeaser,02TunY8vy,41,"4,6",Next 40,RH,Offres d'Emplois et de Stages‎,Marketplace,B2B,"Highland Europe, Alven, Idinvest Partners, Seventure Partners, Korelya Capital","50,0",https://www.linkedin.com/company/893389,2008,51-200,400,corporate.jobteaser.com,http://corporate.jobteaser.com/,,prénom.nom@jobteaser.com,-,n.a.,-
Qarnot Computing,02R26vy,3,4,-,Greentech,La chaleur dégagée par les serveurs est valorisée pour chauffer écologiquement des bâtiments.,SaaS,B2B,"La Banque des Territoires - Caisse des Dépôts, Engie Rassembleurs d’Énergies, A/O Proptech, groupe Casino","6,0",https://www.linkedin.com/company/qarnot-computing/,2010,11-50,35,qarnot.com,https://qarnot.com/,,,-,n.a.,-
Rubix S&I,01syTm3,-,n.a.,-,Greentech,"Sites industriels, smart city, sites de revalorisation des déchets; Surveillez les émissions de nuisances et leur impact sur le voisinage",SaaS,B2B,"Crédit Mutuel Innovation, Banque des territoires","7,0",https://www.linkedin.com/company/27174932,2016,11-50,36,rubixsi.com,https://www.rubixsi.com/,,,-,n.a.,-
MyLight Systems,02TunL0,-,n.a.,-,Greentech,MyLight Systems développe des solutions innovantes de monitoring et de gestion de l'énergie solaire pour les installations photovoltaïques résidentielles,Service,B2B,"Interinvest Capital, Demeter","6,5",https://www.linkedin.com/company/mylight-systems/,2014,11-50,40,mylight-systems.com,https://www.mylight-systems.com/,,,-,n.a.,-
Certideal,01yChtr,-,n.a.,FT 120,Greentech,iPhone reconditionné | Samsung reconditionné - CERTIDEAL,Marketplace,B2C,"MAIF Avenir, BNP Paribas Développement, Inter Invest Capital, Citizen Capital","8,0",https://www.linkedin.com/company/20106935,2015,11-50,45,certideal.com,https://certideal.com/,,,-,n.a.,-
Kameleoon,02MZUIIYj,11,"4,1",-,Marketing,Personnalisation prédictive et A/B testing,SaaS,B2B,Odyssée Venture,"5,0",https://www.linkedin.com/company/2208775,2012,51-200,151,kameleoon.com,http://www.kameleoon.com,,pnom@kameleoon.com,-,n.a.,-
Flex Fuel Energy Development,02MIw1629,-,n.a.,FT 120,Greentech,"Décalaminage, kit bioéthanol et éco-entretien",Autres,B2B,-,,https://www.linkedin.com/company/flex-fuel-energy-development-belgium-ffed-belgium/,2009,11-50,-,flexfuel-company.com,https://www.flexfuel-company.com/,,,-,n.a.,-
Yuka,02Ne3zpPN,-,n.a.,-,Greentech,L'application mobile qui scanne votre alimentation,Autres,B2C,-,,https://www.linkedin.com/company/yuka/about/,2016,11-50,,yuka.io,https://yuka.io/,,,-,n.a.,-
Little Worker,01yChok,-,n.a.,-,Immobilier,Little Worker est spécialiste dans le conseil et la réalisation de vos travaux.,Service,B2C,50 Partners Capital,"1,0",https://www.linkedin.com/company/little-worker/,2016,11-50,4,littleworker.fr,https://www.littleworker.fr/,,,-,n.a.,-
Unkle,01yChrQ,-,n.a.,-,Immobilier,Trouver un garant pour location,Service,B2C,Business angels,"1,0",https://www.linkedin.com/company/10136542,2018,11-50,4,unkle.fr,http://www.unkle.fr,,prénom@unkle.fr,-,n.a.,-
Kayrros,026BOAVka,10,"3,2",FT 120,Energie,Disruptive Analytics for Energy Markets,SaaS,B2B,-,,https://www.linkedin.com/company/kayrros/,2016,51-200,25,kayrros.com,https://www.kayrros.com/,,,-,n.a.,-
Warmango,01yCiOy,-,n.a.,-,Immobilier,Plomberie Chauffage Sanitaire‎,Marketplace,B2B,-,"2,0",https://www.linkedin.com/company/warmango/,2016,11-50,14,warmango.fr,https://warmango.fr/,,,-,n.a.,-
Keranova,02Q2Llskn,-,n.a.,FT 120,Med / Biotech,Med / Biotech,Produit,B2C,"Mérieux Equity Partners, Supernova Invest, Financière Arbevel, Tourrette Investissement","24,0",https://fr.linkedin.com/company/keranova-s.a.,2015,11-50,125,eranova.fr,http://www.keranova.fr/,,,-,n.a.,-
Kickmaker,02MJ6XZ,9,5,-,Autres,Communauté d'industrialisation de projets high-tech,Service,B2B,Generis Capital,"5,0",https://www.linkedin.com/company/kickmaker/,2016,51-200,31,kickmaker.fr,https://www.kickmaker.fr/,,,-,n.a.,-
Kinéis,01yCiP5,-,n.a.,-,Iot,"La connectivité IoT du futur s'appelle Kinéis. Universelle, simple, basse consommation, fiable, à un coût accessible au plus grand nombre.",Produit,B2B,"CLS, le Centre National d'Etudes Spatiales (CNES), Bpifrance, l'Ifremer, Thales, la SSII toulousaine CELAD, BNP Paribas Développement, Hemeria","100,0",https://www.linkedin.com/company/kineis-argos/,2018,11-50,-,kineis.com,https://www.kineis.com/,,,-,n.a.,-
Virgil,01yCiPt,-,n.a.,-,Immobilier,"Devenir propriétaire sans apport personnel. c'est possible avec Virgil. Choisissez votre appartement, Virgil l'achète avec vous.",Service,B2C,"Alven Capital, LocalGlobe, Kima Ventures","2,1",https://www.linkedin.com/company/18856203,2019,2-10,15,wearevirgil.com,http://wearevirgil.com,,,-,n.a.,-
Klaxoon,02QbCE0,-,n.a.,Next 40,Autres,"Renforcez le Collectif avec des Réunions Participatives, Agiles et Efficaces !",SaaS,B2B,"Idinvest,bpifrance, Sofiouest,White Star Capital","43,0",https://www.linkedin.com/company/klaxoon/,2014,51-200,9,klaxoon.com,https://klaxoon.com/,,,-,n.a.,-
UpFactor,02MJS8I,-,n.a.,-,Immobilier,"Structure de conseil indépendante, spécialiste de la détection à grande échelle du potentiel foncier aérien.",Service,B2B,"Sofiouest, Fa Dièse, Paris Region Venture Fund, la Banque des Territoires","2,5",https://www.linkedin.com/company/upfactor-surelevation/,2017,11-50,19,upfactor.fr,https://upfactor.fr/,,,-,n.a.,-
MeilleureCopro,01yCiOw,-,n.a.,-,Immobilier,N°1 pour Réduire les Charges de Copropriété,Service,B2B,"Waterstart-NCI, Anaxago","3,0",https://www.linkedin.com/company/meilleurecopro/,2016,11-50,21,meilleurecopro.com,https://www.meilleurecopro.com/,,,-,n.a.,-
Renovation Man,01yCiQQ,-,n.a.,-,Immobilier,Nous vous accompagnons dans vos travaux. Recevez votre Estimation Gratuite !,Service,B2C,Business angels,"3,0",https://www.linkedin.com/company/11131056,2017,11-50,22,renovationman.com,http://www.renovationman.com,,prénom@renovationman.com,-,n.a.,-
La Belle Assiette,01yCiVjZM,24,"4,8",-,Foodtech,Réservez un chef à domicile,Marketplace,B2C,-,,https://www.linkedin.com/company/la-belle-assiette/,2013,11-50,-,labelleassiette.fr,https://labelleassiette.fr/,,,-,n.a.,-
Big Bag 'N Go,02Q2bsw,-,n.a.,-,Immobilier,L'évacuation des gravats et déchets de chantier pour les pros.,Service,B2B,A Plus Finance,"4,0",https://www.linkedin.com/company/big-bag-n-go/,2011,11-50,25,bigbagngo.com,https://www.bigbagngo.com/,,,-,n.a.,-
CozyCozy,02LkElv,-,n.a.,-,Immobilier,Locations vacances et hôtels au meilleur prix,Marketplace,B2B,"Daphni, CapDecisif, Raise","4,0",https://www.linkedin.com/company/17883814,2017,11-50,25,cozycozy.com,https://www.cozycozy.com,,,-,n.a.,-
Liberkeys,01m4RPy,-,n.a.,-,Immobilier,La nouvelle agence immobilière qui s'occupe de la vente de votre bien immobilier de A à Z,Service,B2C,Crédit Agricole immobilier,"4,0",https://www.linkedin.com/company/liberkeys/,2018,11-50,27,liberkeys.com,https://liberkeys.com/,,,-,n.a.,-
Checkmyguest,02LkEjp,-,n.a.,-,Immobilier,Checkmyguest enables real estate owners to maximize profitability for short term rentals with an optimised listing of these properties on platforms like Airbnb,Service,B2C,Entrepreneur Venture,"7,0",https://www.linkedin.com/company/checkmyguest/,2016,11-50,40,checkmyguest.fr/f,https://www.checkmyguest.fr/fr,,,-,n.a.,-
Myre,01yCiOv,-,n.a.,-,Immobilier,La plateforme de gestion des données de l'immobilier,SaaS,B2B,"Naxicap, Keys Asset Management","2,0",https://www.linkedin.com/company/myre-asset-management-platform/,2016,11-50,40,getmyre.com,https://www.getmyre.com/,,,-,n.a.,-
Launchmetrics,02L7BLZ5Q,23,"3,8",-,Marketing,"Outils & Données pour créer des expériences de marque inspirantes, virales et à l'impact mesurable grâce à une plateforme marketing complète.",SaaS,B2B,-,,https://www.linkedin.com/company/279430,2006,11-50,-,launchmetrics.com,http://www.launchmetrics.com,,,-,n.a.,-
MonBuilding,01yChrx,-,n.a.,-,Immobilier,"MonBuilding, l'application all-in-one pour une meilleure communication et un accès unique à toutes les prestations offertes aux occupants.",SaaS,B2B,Naxicap Partners,"2,0",https://www.linkedin.com/company/monbuilding/,2016,11-50,41,home.monbuilding.com,https://home.monbuilding.com/,,,-,n.a.,-
Homeland,01yCiOx,-,n.a.,-,Immobilier,Homeland est votre syndic de copropriété disponible et réactif.,SaaS,B2B,-,"2,0",https://www.linkedin.com/company/homeland-immo/,2016,11-50,45,homeland.immo,https://www.homeland.immo/,,,-,n.a.,-
Le Wagon,01m4RPT,20,5,-,Edtech,"Changez de vie, apprenez à coder.",Service,B2C,"Cathay Capital, AfricInvest","17,0",https://www.linkedin.com/company/5046700,2013,11-50,94,lewagon.com,https://www.lewagon.com,,prénom@lewagon.com,-,n.a.,-
Leavy,01yCi2CES,33,"3,7",-,Tourisme,"Voyager plus, payez moins",Service,B2C,Prime Ventures,"12,7",https://www.linkedin.com/company/18592832,2017,51-200,71,leavy.co,https://www.leavy.co/,,prénom@leavy.co,-,n.a.,-
Hubstairs,02LkEoQ,2,"3,5",-,Immobilier,"Hubstairs, solution SaaS de création de contenus visuels 3D spécialisée dans l'univers du Home & Living",SaaS,B2B,"Pioneer Fund, Art de Vivre Group","3,3",https://www.linkedin.com/company/7950604,2016,11-50,48,hubstairs.com,http://www.hubstairs.com,,prénom@hubstairs.com,-,n.a.,-
Ledger,02FGOJB,80,"4,7",Next 40,Fintech,"Secure your crypto assets such as Bitcoin, Ethereum, XRP, Monero and more.",Service,B2C,-,,https://www.linkedin.com/company/5389345,2015,11-50,-,ledger.com,https://www.ledger.com,,prénom@ledger.fr,-,n.a.,-
Wizzcad,02LkANh,4,"3,3",-,Immobilier,"Wizzcad s'attelle à numériser le secteur du BTP, grâce à la modélisation des informations du bâtiment",SaaS,B2B,Join Capital,"5,0",https://www.linkedin.com/company/wizzcad/,2013,11-50,49,wizzcad.com,https://wizzcad.com/,,,-,n.a.,-
Hostnfly,02MIvkF,6,"4,4",-,Immobilier,"HostnFly, conciergerie Airbnb",Service,B2C,"Highgate Ventures, Partech, Kerala, Kima Ventures","9,0",https://www.linkedin.com/company/hostnfly/,2016,11-50,50,hostnfly.com,http://www.hostnfly.com,,,-,n.a.,-
Izicap,01yCiOvOw,-,n.a.,Top Linkedin,Immobilier,Solution de fidélisation pour acquéreurs - Izicap,SaaS,B2B,-,,https://www.linkedin.com/company/3213474,2013,11-50,50,izicap.com,https://www.izicap.com/,,prénom@izicap.com,-,n.a.,-
Legalstart,02SCySPct,21,"4,4",-,Legaltech,Plateforme de services juridiques en ligne à destination des TPE/PME,Service,B2B,ISAI,"15,0",https://www.linkedin.com/company/legalstart/,2013,51-200,85,legalstart.fr,https://www.legalstart.fr/,,,-,n.a.,-
Anticafé,02SCzJOo6,-,n.a.,-,Immobilier,Café cosy pour travailler,Service,B2C,-,,https://www.linkedin.com/company/9198687,2013,11-50,-,anticafe.eu,http://www.anticafe.eu,,,-,n.a.,-
Lemon Way,01yChxq,17,"4,4",FT 120,Fintech,"Solution de paiement automatisée et 100% configurable pour marketplaces, plateformes de crowdfunding",Autres,B2B,Toscafund Asset Management,"25,0",https://www.linkedin.com/company/lemonway/,2007,51-200,129,lemonway.com,https://www.lemonway.com/,,,-,n.a.,-
Lengow,02LkKN0JN,42,"3,1",-,Marketing,Gestion simplifiée des flux‎,SaaS,B2B,-,,https://www.linkedin.com/company/397883,2009,51-200,-,lengow.com,http://www.lengow.com/,,prénom@lengow.com,5-10M€,n.a.,-
Cautioneo,02Q2UxLAP,-,n.a.,-,Immobilier,Trouvez votre location plus facilement avec le meilleur des garants,Service,B2C,-,,https://www.linkedin.com/company/cautioneo/,2017,11-50,-,cautioneo.com,https://www.cautioneo.com/,,,-,n.a.,-
Les opticiens mobiles,01yChmIOQ,-,n.a.,-,Retail,L'opticien vient chez vous‎,Service,B2C,"Investir&+, 123 Investment Managers, Amundi, Evolem Start","3,2",https://www.linkedin.com/company/les-opticiens-mobiles/,2015,51-200,24,lesopticiensmobiles.com,https://www.lesopticiensmobiles.com/,,,-,n.a.,-
Garant Me,02P0neYHl,-,n.a.,-,Immobilier,Trouver un garant pour votre location en France,Service,B2C,-,,https://www.linkedin.com/company/garantme/,2017,11-50,-,garantme.fr,https://garantme.fr/,,,-,n.a.,-
LGO,02IZAkMUx,-,n.a.,FT 120,Fintech,Provides a wide range of financial services on digital assets to an international and professional client base.,Marketplace,B2B,-,,https://www.linkedin.com/company/lgo-group/,2017,51-200,-,lgo.group,https://lgo.group/,,,-,n.a.,-
Studapart,02Q2LREb1,3,"3,3",-,Immobilier,Trouver un logement étudiant,Marketplace,B2C,-,,https://www.linkedin.com/company/studapart/,2014,11-50,,studapart.co,https://www.studapart.com,,,-,n.a.,-
CityTaps,02L8C52hK,-,n.a.,-,Iot,Un accès à l’eau courante pour tous les urbains,Service,B2B,"Inheritance Enterprises, la Fondation Vitol","2,2",https://www.linkedin.com/company/citytaps/,2015,11-50,15,citytaps.org,https://www.citytaps.org/,,,-,n.a.,-
Lifen,01yCi26b1,22,"4,8",FT 120,Med / Biotech,Solution universelle de communication médicale,SaaS,B2B,"Partech, Idinvest Partners, Majycc eSanté Invest, Serena, Daphni","20,0",https://www.linkedin.com/company/9399747,2015,11-50,-,lifen.fr,https://www.lifen.fr,,,-,n.a.,-
Lime,02L7BABjb,143,"3,4",-,Mobilité,Vélos et trottinettes électriques en libre service,Service,B2C,-,,https://www.linkedin.com/company/16199690,2017,1001-5000,60,li.me,http://li.me,,,-,n.a.,-
Unistellar,01yChpj,-,n.a.,-,Iot,Téléscope connecté,Produit,B2C,Brighteye Ventures,"2,1",https://www.linkedin.com/company/unistellar-sas/,2015,11-50,15,unistellaroptics.com,https://unistellaroptics.com/,,,-,n.a.,-
Linkfluence,02L7BZMPb,46,"4,1",-,Marketing,Social insights for global brands,SaaS,B2B,-,,https://www.linkedin.com/company/linkfluence/,2006,201-500,65,linkfluence.com,https://www.linkfluence.com/fr/,,,-,n.a.,-
Listen Too,01yCiOyPt,3,"3,1",Top Linkedin,Conseil / fonds,Listen Too est un cabinet de conseil opérationnel à destination des directions souhaitant concrétiser leurs projets de transformation digitale,Service,B2B,-,,https://www.linkedin.com/company/listen-too/,2013,51-200,-,isten-too.com,http://www.listen-too.com/,,,-,n.a.,-
PKVitality,02L8C52,-,n.a.,-,Iot,Entreprise française spécialisée dans les bio-wearables,Produit,B2C,Beurer GmBH,"2,3",https://www.linkedin.com/company/pkvitality/,2017,11-50,16,pkvitality.com,https://www.pkvitality.com/,,,-,n.a.,-
Otonomy Aviation,02KfSu4PB,-,n.a.,-,Iot,Caméras haute définition pour l'aviation d'affaires,Produit,B2B,"Ouest Croissance, Expanso Capital, Sofimac IM","2,4",https://www.linkedin.com/company/otonomy-aviation-sas/,2007,11-50,17,otonomy-aviation.com,https://www.otonomy-aviation.com/,,,-,n.a.,-
ParkingMap,01rhCJN,-,n.a.,-,Iot,Observatoire Dynamique du Stationnement,Service,B2B,"Banque des Territoires, Fa Dièse","2,5",https://www.linkedin.com/company/parking-map/,2011,2-10,18,parkingmap.fr,https://www.parkingmap.fr/,,,-,n.a.,-
R-Pur,02L7BLZLz,-,n.a.,-,Iot,Masque Antipollution 100% Made in France,Produit,B2C,"Citizen Capital, family offices","2,5",https://www.linkedin.com/company/10649685,2016,11-50,18,r-pur.com,http://www.r-pur.com,,prénom@r-pur.com,-,n.a.,-
Ellcie Healthy,02LkKN0,-,n.a.,-,Iot,Lunettes connectées,Produit,B2C,"ACG Management, Région Sud Investissement (géré par Turenne Capital), SYGMA, bpifrance","2,7",https://www.linkedin.com/company/ellcie-healthy-sas/,2016,11-50,20,ellcie-healthy.com,https://ellcie-healthy.com/,,,-,n.a.,-
Energie IP,01yCiN2u4,-,n.a.,-,Iot,Rendre les Gestions Techniques du Bâtiment (GTB) plus flexibles et universelles en utilisant les dernières évolutions de la technologie PoE,Service,B2B,"Nexity, Demeter","3,0",https://www.linkedin.com/company/energieip/,2015,11-50,20,energie-ip.com,https://energie-ip.com/,,,-,n.a.,-
Enlaps,02Oz3hK,-,n.a.,-,Iot,"Enlaps, une solution complète réalisant pour vous les plus beaux time lapses!",Service,B2C,"BNP Paribas, Caisse d’épargne, bpifrance","3,0",https://www.linkedin.com/company/enlaps/,2015,11-50,21,enlaps.io,https://enlaps.io/,,,-,n.a.,-
Luckey,02L77pQJz,35,"4,1",-,Immobilier,Service de conciergerie complet pour ceux qui n'ont pas le temps de créer ou de s'occuper de leur annonce sur Airbnb,Service,B2C,-,,https://www.linkedin.com/company/luckey,2015,51-200,-,luckey.fr,https://luckey.fr/,,,-,n.a.,-
Luko,02Ne3pz,-,n.a.,-,Fintech,Assurance Habitation - Sans Charabia d'Assureurs‎,SaaS,B2C,"Accel, Founders Fund, Speedinvest","20,0",https://www.linkedin.com/company/11048342,2016,51-200,29,luko.eu,https://www.luko.eu,,prénom@luko.eu,-,n.a.,-
LumApps,02TuncQY8,40,"4,4",FT 120,RH,Intranet Social & Collaboratif‎,SaaS,B2B,"Bpifrance, Idinvest Partners, Goldman Sachs, Iris Capital, Famille C","63,0",https://www.linkedin.com/company/4840498,2012,11-50,,lumapps.com,https://www.lumapps.com/,,prénom@lumapps.com,-,n.a.,-
Lunchr / Swile,02MIw16,-,n.a.,FT 120,Foodtech,Découvrez la seule carte qui regroupe vos titres-restaurants et titres cadeau.,SaaS,B2B,"Index Ventures, Kima Ventures, Daphni, Idinvest","30,0",https://www.linkedin.com/company/swile/,2017,51-200,33,swile.co,https://www.swile.co/,,,-,n.a.,-
Lunettes pour tous,02IZAjbOf,11,"3,3",-,Autres,Vos lunettes à 10€ en 10 minutes partout,Produit,B2C,-,,https://www.linkedin.com/company/lunettes-pour-tous/,2014,201-500,73,lunettespourtous.com,https://lunettespourtous.com/,,,-,n.a.,-
Lydia,02MIvkFoQ,3,"3,3",FT 120,Fintech,L'application de paiement mobile,Service,B2C,"Tencent, XAnge","40,0",https://www.linkedin.com/company/2958157,2011,11-50,240,lydia-app.com,https://lydia-app.com,,prénom.nom@lydia-app.com,-,n.a.,-
M2i Life Sciences,01yCiPbpg,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,"Eurazeo Growth, ADM Capital, Tethys Invest, Créadev, Raise Impact","60,0",https://www.linkedin.com/company/m2i-life-sciences/,2012,51-200,6000,m2i-lifesciences.com,https://www.m2i-lifesciences.com/,,,-,n.a.,-
MaaT Pharma,01yCiM1c9,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,"SymBiosis, Seventure Partners, Crédit Mutuel Innovation, Biocodex","18,0",https://fr.linkedin.com/company/maat-pharma,2014,11-50,96,maatpharma.com,https://www.maatpharma.com/,,,-,n.a.,-
MadBox,02L7BAB,15,5,-,Divertissement,We create mobile games,Service,B2C,Alven,"15,0",https://www.linkedin.com/company/9375457,2015,2-10,88,madbox.io,https://madbox.io,,,-,n.a.,-
Scintil Photonics,01yCiPBzQ,-,n.a.,-,Iot,SCINTIL Photonics develops and markets Heterogeneous Silicon Photonic IC with wafer-level lasers integration.,Produit,B2B,"Supernova Invest, Innovacom, Bpifrance, Crédit Agricole Alpes Développement, Foreis","4,0",https://www.linkedin.com/company/scintil-photonics/,2018,2-10,27,scintil-photonics.com,https://www.scintil-photonics.com/,,,-,n.a.,-
Mailjet,02KfSu4Lz,28,"4,2",-,Marketing,Emails Marketing et Transactionnels,SaaS,B2B,-,,https://www.linkedin.com/company/1459557,2010,51-200,-,goo.gl,https://goo.gl/RezoVT,,,-,n.a.,-
Primo1D,02MJ6XZEq,-,n.a.,-,Iot,Primo1D. Primo1D fournit une solution de traçabilité unique grâce à la technologie E-Thread™.,Service,B2B,"Michelin Ventures, BNP Paribas Développement, Sofimac Innovation, Kreaxi, Expansinvest, Casra Capital, Rhône-Alpes Angels","6,0",,2013,11-50,37,primo1d.com,https://www.primo1d.com/,,,-,n.a.,-
Aryballe Technologies,01rhCJN52,-,n.a.,-,Iot,"Aryballe Technologies combine des biocapteurs, du traitement du signal et des bases de données pour développer des nez électroniques",Produit,B2B,"IFF, Hyundai","6,2",https://www.linkedin.com/company/aryballe-technologies/,2014,11-50,39,aryballe.com,https://aryballe.com/,,,-,n.a.,-
Malt,02N6wYCm3,23,"4,7",-,RH,Les Meilleurs Freelances Dispo‎,Marketplace,B2B,"Idinvest Partners, ISAI, Serena","25,0",https://www.linkedin.com/company/5285846,2013,11-50,129,malt.com,https://www.malt.com,,,-,n.a.,-
ManoMano,01yCiUQ,104,"3,8",Next 40,Ecommerce,"Achat en ligne bricolage, rénovation et jardinage",Marketplace,B2C,"General Atlantic, Eurazeo, Piton Capital, Bpifrance, Kismet Holdings, Temasek","125,0",https://www.linkedin.com/company/10247164,2013,51-200,-,manomano.fr,http://www.manomano.fr/,,prénom@manomano.fr,-,n.a.,-
Lancey Energy Storage,02MJ6XZgx,-,n.a.,-,Iot,Les éléments chauffants. Des blocs de chauffe en pierre naturelle et un panneau rayonnant infrarouge vous assurent une sensation de chaleur immédiate,Produit,B2C,Engie New Ventures,"8,0",https://www.linkedin.com/company/lancey/,2016,11-50,45,lancey.fr,https://www.lancey.fr/,,,-,n.a.,-
Azur Drones,02MJ5EqN2,-,n.a.,-,Iot,Leader européen du drone autonome - Accueil - Azur Drones,Produit,B2B,-,"9,0",https://www.linkedin.com/company/10020060,2012,2-10,50,azurdrones.com,http://www.azurdrones.com,,,-,n.a.,-
Nestwave,02A0azQLZ,-,n.a.,-,Iot,Solution avancée de géolocalisation pour le marché de l’IoT,SaaS,B2C,"The Faktory, Sofimac Innovation","2,0",https://www.linkedin.com/company/nestwave/,2014,11-50,50,nestwave.com,https://www.nestwave.com/,,,-,n.a.,-
Otodo,01yChve,-,n.a.,-,Iot,"Plateforme smart home universelle, Otodo offre aux opérateurs télecoms de lancer rapidement des services smart home grâce à sa plateforme marque blanche.",SaaS,B2B,"Breega, 123-Investment Managers, Idinvest Partners","3,0",https://www.linkedin.com/company/otodo/,2016,11-50,51,otodo.com,https://www.otodo.com/,,,-,n.a.,-
Wattsense,01yChvepj,-,n.a.,-,Iot,La connexion des bâtiments de nouvelle génération,SaaS,B2B,"Kreaxi, Bpifrance, Demeter","2,3",https://www.linkedin.com/company/wattsense/,2017,11-50,51,wattsense.co,https://wattsense.com,,,-,n.a.,-
Matera,01yChoNsw,-,n.a.,-,Immobilier,"Votre syndic est trop cher ? - Matera, la solution n°1‎",SaaS,B2B,"Index Ventures, Samaipata","10,0",https://www.linkedin.com/company/11263019,2017,51-200,50,matera.eu,https://www.matera.eu,,,-,n.a.,-
Weenat,02L8C0vXZ,-,n.a.,-,Iot,Station météo pour les Professionnels,SaaS,B2B,"Litto Invest, Unexo, Atlantique Vendée Innovation, Famm","2,0",https://www.linkedin.com/company/weenat-solutions/,2014,11-50,51,weenat.com,https://weenat.com/,,,-,n.a.,-
Tempow,02SEZLhAf,-,n.a.,-,Iot,Enabling the next generation of Bluetooth Audio,Produit,B2B,-,,https://www.linkedin.com/company/tempow/,2016,11-50,,tempow.com,https://tempow.com/,,,-,n.a.,-
